Removed Pin From Net: NetName=COM Pin=J5-1
Removed Pin From Net: NetName=Vin Pin=J5-2
Removed Pin From Net: NetName=COM_ISO Pin=J5-4
Removed Pin From Net: NetName=5V_ISO_1 Pin=J5-6
Removed Pin From Net: NetName=COM Pin=J6-1
Removed Pin From Net: NetName=Vin Pin=J6-2
Removed Pin From Net: NetName=COM_ISO Pin=J6-4
Removed Pin From Net: NetName=5V_ISO_2 Pin=J6-6
Removed Pin From Net: NetName=COM Pin=J7-1
Removed Pin From Net: NetName=Vin Pin=J7-2
Removed Pin From Net: NetName=COM_ISO Pin=J7-4
Removed Pin From Net: NetName=5V_ISO_3 Pin=J7-6
Removed Pin From Net: NetName=COM Pin=J8-1
Removed Pin From Net: NetName=Vin Pin=J8-2
Removed Pin From Net: NetName=COM_ISO Pin=J8-4
Removed Pin From Net: NetName=5V_ISO_4 Pin=J8-6
Removed Pin From Net: NetName=NetIC1_51 Pin=LED2-2
Removed Pin From Net: NetName=NetIC1_52 Pin=LED3-2
Removed Pin From Net: NetName=COM Pin=R11-1
Removed Pin From Net: NetName=COM Pin=R12-1
Removed Pin From Net: NetName=5V_ISO_1 Pin=TP5-1
Removed Pin From Net: NetName=5V_ISO_2 Pin=TP6-1
Removed Pin From Net: NetName=5V_ISO_3 Pin=TP7-1
Removed Pin From Net: NetName=5V_ISO_4 Pin=TP8-1
Removed Member From Class: ClassName=Power Member=J5
Removed Member From Class: ClassName=Power Member=J6
Removed Member From Class: ClassName=Power Member=J7
Removed Member From Class: ClassName=Power Member=J8
Removed Member From Class: ClassName=Power Member=TP5
Change Component Comment : Designator=L2 Old Comment=Inductor New Comment=FERRITE
Change Component Designator: OldDesignator=TP? NewDesignator=TP5
Change component parameters: Designator = "IC3"; Footprint = "SOP254P1031X450-16N"; UniqueID = "\KWWULHPA"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Collector Emitter Saturation Voltage"; Value = "200mV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Collector Emitter Voltage (VCEO)"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/11771/0900766b80de6da2-11771782.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/11771/0900766b80de6da2-11771782.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/15118/getdatasheetpartid-119507-15118694.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/15118/getdatasheetpartid-119507-15118694.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/2086/s-110-ltv-817827847m-s-s-ta-s-ta1-s-tpseries-2086410.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/2086/s-110-ltv-817827847m-s-s-ta-s-ta1-s-tpseries-2086410.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/16294/ltv-817-827-847-16294014.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/16294/ltv-817-827-847-16294014.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Transfer Ratio"; Value = "600%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description 1"; Value = "OPTOISOLTR 5KV 4CH TRANS 16-SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fall Time"; Value = "18000ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Current"; Value = "50mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Voltage"; Value = "1.4V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Isolation Voltage"; Value = "5kV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Vishay Lite-On"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "LTV-847S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Collector Current"; Value = "50mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Input Current"; Value = "50mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "110°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Output Voltage"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "200mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-30°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Channels"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Circuits"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "16"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current per Channel"; Value = "50mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Voltage"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "25"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Rail/Tube"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation"; Value = "200mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1 = 1.02000, 10 = 0.82500, 100 = 0.50760, 500 = 0.43146, 1000 = 0.35532, 2500 = 0.33756, 5000 = 0.32994, 10000 = 0.32233, 25000 = 0.31725 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Breakdown Voltage"; Value = "6V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rise Time"; Value = "18000ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS 1"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "44348"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "160-1371-5-ND"; VariantName = "[No Variations]"
Added Component: Designator=C17(CAP 0603/1608)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Capacitance"; Value = "330nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Digi-Key listing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/C1608X7R1E104K080AA/445-1316-1-ND/567697"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=626892&src-supplier=Verical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=626892&src-supplier=Verical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "http://www.farnell.com/datasheets/2746056.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "http://www.farnell.com/datasheets/2746056.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "http://components.arrow.com/part/dataview/0323_00313986?src-supplier=Arrow+Europe"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "http://components.arrow.com/part/dataview/0323_00313986?src-supplier=Arrow+Europe"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6Description"; Value = "http://www.mouser.com/ds/2/212/KEM_C1002_X7R_SMD-1102033.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6URL"; Value = "http://www.mouser.com/ds/2/212/KEM_C1002_X7R_SMD-1102033.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink7Description"; Value = "http://www.alliedelec.com/m/d/6f3b5eb83d09db50ed28bdc730567b33.pdf?src-supplier=Allied+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink7URL"; Value = "http://www.alliedelec.com/m/d/6f3b5eb83d09db50ed28bdc730567b33.pdf?src-supplier=Allied+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink8Description"; Value = "http://components.arrow.com/part/dataview/40911037S8853915N7429?src-supplier=Arrow"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink8URL"; Value = "http://components.arrow.com/part/dataview/40911037S8853915N7429?src-supplier=Arrow"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink9Description"; Value = "http://www.farnell.com/datasheets/2746056.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink9URL"; Value = "http://www.farnell.com/datasheets/2746056.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink10Description"; Value = "http://www.farnell.com/datasheets/1828800.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink10URL"; Value = "http://www.farnell.com/datasheets/1828800.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink11Description"; Value = "http://capacitoredge.kemet.com/capedge2/DataSheet?pn=C0603C104M5RAC7867&src-supplier=Avnet+Asia"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink11URL"; Value = "http://capacitoredge.kemet.com/capedge2/DataSheet?pn=C0603C104M5RAC7867&src-supplier=Avnet+Asia"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink12Description"; Value = "https://api.kemet.com/component-edge/download/datasheet/C0603C104M5RACTU.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink12URL"; Value = "https://api.kemet.com/component-edge/download/datasheet/C0603C104M5RACTU.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink13Description"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=110138&src-supplier=Verical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink13URL"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=110138&src-supplier=Verical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink14Description"; Value = "http://capacitoredge.kemet.com/capedge2/DataSheet?pn=C0603C104M5RAC7867&src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink14URL"; Value = "http://capacitoredge.kemet.com/capedge2/DataSheet?pn=C0603C104M5RAC7867&src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink15Description"; Value = "http://www.farnell.com/datasheets/2315113.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink15URL"; Value = "http://www.farnell.com/datasheets/2315113.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink16Description"; Value = "http://www.farnell.com/datasheets/2746056.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink16URL"; Value = "http://www.farnell.com/datasheets/2746056.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink17Description"; Value = "https://datasheet.ciiva.com/26919/getdatasheetpartid-755505-26919191.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink17URL"; Value = "https://datasheet.ciiva.com/26919/getdatasheetpartid-755505-26919191.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink18Description"; Value = "https://datasheet.ciiva.com/6251/tdkmlcccaprange-6251126.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink18URL"; Value = "https://datasheet.ciiva.com/6251/tdkmlcccaprange-6251126.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink19Description"; Value = "https://datasheet.ciiva.com/22694/1796654-22694123.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink19URL"; Value = "https://datasheet.ciiva.com/22694/1796654-22694123.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink20Description"; Value = "https://datasheet.ciiva.com/7975/1796654-7975053.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink20URL"; Value = "https://datasheet.ciiva.com/7975/1796654-7975053.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Description 1"; Value = "TDK         C1608X5R1H334K080AB            SMD Multilayer Ceramic Capacitor, C Series, 0.33 F,  10%, X5R, 50 V, 0603 [1608 Metric]"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X5R"; VariantName = "[No Variations]"
